payment_id,loan_id,payment_date,payment_amount,payment_method,payment_status
1,21198,2025-08-31,14739.0,Net Banking,Success
2,28454,2023-05-30,1397.0,UPI,Success
3,5613,2025-04-06,13402.0,Net Banking,Success
4,9286,2022-10-05,19234.0,Debit Card,Success
5,22617,2025-02-15,7929.0,Net Banking,Success
6,12086,2023-03-27,10717.0,Debit Card,Pending
7,21975,2022-10-03,22967.0,UPI,Success
8,29384,2023-09-21,18541.0,Auto Debit,Success
9,210,2024-08-12,6945.0,Net Banking,Success
10,3381,2023-05-08,5389.0,UPI,Success
11,9154,2023-10-05,20248.0,Net Banking,Success
12,8400,2024-04-29,7534.0,Auto Debit,Success
13,21898,2023-05-15,15375.0,UPI,Success
14,24216,2024-01-31,1497.0,Credit Card,Success
15,7445,2023-06-18,21213.0,Credit Card,Success
16,8933,2022-08-20,,,Success
17,7027,2025-11-13,8973.0,Debit Card,Success
18,17672,2025-07-18,22686.0,Auto Debit,Success
19,26847,2023-12-21,20353.0,Credit Card,Success
20,17659,2025-01-27,21517.0,UPI,Success
21,23884,2024-02-24,6868.0,Credit Card,Failed
22,17769,2024-03-25,20667.0,Debit Card,Success
23,499,2026-04-01,11625.0,Net Banking,Success
24,10915,2023-08-08,5646.0,UPI,Success
25,10367,2022-08-29,12479.0,Auto Debit,Success
26,4274,2025-02-07,21715.0,Net Banking,Success
27,23999,2022-06-13,6775.0,Net Banking,Success
28,9851,2023-01-25,1332.0,UPI,Pending
29,13345,2024-06-26,15709.0,Debit Card,Success
30,22639,2024-08-10,5044.0,Auto Debit,Success
31,15916,2022-02-26,11207.0,Net Banking,Success
32,20798,2022-10-24,2637.0,Auto Debit,Success
33,5813,2024-11-08,23429.0,Credit Card,Success
34,20375,2022-04-05,12427.0,Credit Card,Success
35,14357,2024-11-30,14544.0,Credit Card,Success
36,5803,2023-09-18,9159.0,Auto Debit,Success
37,7276,2024-09-18,9042.0,Credit Card,Success
38,26426,2024-03-24,21549.0,Debit Card,Success
39,27019,2025-01-07,22487.0,Net Banking,Success
40,7571,2022-07-04,5001.0,UPI,Success
41,27170,2025-06-28,13620.0,Net Banking,Failed
42,25273,2023-09-19,4608.0,UPI,Success
43,5587,2022-12-20,21101.0,Debit Card,Success
44,8033,2025-11-25,5572.0,Debit Card,Success
45,8902,2022-05-16,19610.0,Auto Debit,Success
46,24510,2022-12-16,9047.0,Net Banking,Success
47,21846,2026-03-15,13986.0,Credit Card,Success
48,21898,2024-01-23,12786.0,Auto Debit,Success
49,2111,2024-04-16,24918.0,Net Banking,Failed
50,24200,2026-03-19,11217.0,Net Banking,Success
51,24229,2023-11-29,4966.0,Credit Card,Success
52,21541,2024-03-07,1525.0,Auto Debit,Success
53,2000,2025-03-06,2188.0,Debit Card,Pending
54,11866,2022-01-25,14483.0,Debit Card,Success
55,13278,2022-10-26,17072.0,Credit Card,Success
56,2509,2022-09-02,,,Success
57,19622,2023-12-22,19002.0,Net Banking,Success
58,21613,2025-11-22,20242.0,UPI,Success
59,27222,2022-11-29,12662.0,Auto Debit,Success
60,25206,2023-07-12,789.0,Credit Card,Pending
61,5862,2023-12-18,685.0,Net Banking,Success
62,7582,2026-01-01,10075.0,Debit Card,Success
63,1715,2024-09-07,22159.0,Net Banking,Success
64,24923,2023-07-25,16185.0,UPI,Success
