loan_id,customer_id,loan_type,loan_amount,interest_rate,loan_term_months,loan_status,loan_date
1,18485,Personal Loan,395749,8.28,48,Active,2022-05-23
2,2860,Personal Loan,41831,9.76,84,Active,2024-03-11
3,11431,Home Loan,279885,9.75,240,Default,2025-12-15
4,6151,Auto Loan,720325,18.23,60,Active,2024-07-25
5,16074,Home Loan,455612,7.45,48,Active,2023-01-13
6,10736,Personal Loan,273708,17.76,48,Closed,2021-09-26
7,19197,Auto Loan,115335,17.65,36,Active,2024-12-13
8,5933,Home Loan,100880,13.64,240,Active,2021-12-15
9,14981,Home Loan,46963,13.28,48,Active,2023-07-04
10,17065,Personal Loan,31853,9.81,240,Closed,2022-08-14
11,16553,Auto Loan,99575,10.71,36,Active,2021-10-17
12,5066,Personal Loan,658920,8.47,240,Active,2024-11-28
13,14858,Home Loan,548991,10.31,120,Active,2021-06-08
14,6650,Home Loan,69046,12.02,84,Closed,2023-03-20
15,11784,Home Loan,385125,16.39,36,Active,2022-02-23
16,13009,Personal Loan,717655,9.72,120,Active,2021-09-12
17,8038,Home Loan,408018,10.59,60,Closed,2023-12-05
18,17588,Business Loan,623488,7.32,48,Active,2023-04-11
19,1267,Business Loan,5582,6.8,12,Closed,2025-04-12
20,13005,Business Loan,59767,5.63,24,Closed,2025-04-22
21,2597,Education Loan,760592,15.5,48,Closed,2022-08-28
22,1828,Personal Loan,417304,12.76,12,Active,2021-11-16
23,18069,Personal Loan,310456,12.66,60,Active,2024-02-24
24,14575,Personal Loan,380371,7.46,48,Active,2024-02-24
25,12541,Home Loan,249185,15.12,240,Active,2021-08-24
26,4687,Home Loan,414731,11.89,12,Active,2023-12-11
27,5994,Personal Loan,260144,12.4,24,Active,2021-11-27
28,6835,Business Loan,445471,18.03,60,Closed,2025-01-24
29,11521,Business Loan,242039,14.26,180,Active,2024-08-15
30,18539,Auto Loan,425676,16.05,36,Default,2022-02-11
31,6930,Personal Loan,563362,13.22,48,Active,2021-07-13
32,7975,Home Loan,314837,13.79,48,Default,2023-07-23
33,1211,Personal Loan,5284,17.78,84,Active,2023-01-29
34,4363,Business Loan,575660,18.31,84,Active,2024-12-31
35,12213,Business Loan,628837,10.45,36,Closed,2025-11-02
36,19618,Personal Loan,341625,13.2,48,Active,2022-03-12
37,4793,Business Loan,367858,16.83,240,Active,2023-12-29
38,11625,Auto Loan,122756,14.25,36,Closed,2022-07-09
39,2048,Personal Loan,90841,11.93,84,Closed,2022-08-20
40,1167,Personal Loan,448808,14.57,12,Active,2022-10-05
41,2968,Personal Loan,637929,11.94,60,Closed,2023-07-26
42,1960,Home Loan,121376,16.3,60,Active,2025-08-05
43,5049,Personal Loan,180146,12.38,84,Active,2024-08-23
44,16322,Home Loan,555401,12.64,84,Active,2025-09-23
45,3142,Business Loan,216031,14.25,36,Active,2023-12-07
46,3015,Personal Loan,571956,12.61,48,Closed,2023-03-21
47,11288,Personal Loan,465643,15.04,180,Active,2022-06-05
48,19404,Home Loan,279370,9.65,180,Active,2025-09-19
49,14034,Home Loan,487630,8.52,24,Active,2022-10-03
50,696,Home Loan,775645,15.35,84,Default,2022-10-31
51,5960,Personal Loan,591845,15.61,12,Closed,2023-06-24
52,6444,Personal Loan,204724,13.31,180,Default,2025-10-13
53,445,Personal Loan,92752,13.0,60,Active,2021-04-03
54,1818,Personal Loan,212642,8.41,180,Active,2024-09-12
55,4417,Auto Loan,46925,6.69,60,Active,2025-01-03
56,18177,Home Loan,115868,5.72,240,Active,2022-08-17
57,3331,Personal Loan,82418,14.63,240,Default,2022-04-04
58,13508,Home Loan,186821,16.64,24,Active,2024-06-21
59,9944,Education Loan,237232,18.27,12,Active,2021-09-16
60,16588,Personal Loan,687127,18.07,120,Active,2022-04-15
61,9294,Home Loan,666997,17.5,48,Closed,2023-06-05
62,15832,Education Loan,330100,8.75,180,Closed,2025-06-22
63,1639,Education Loan,521841,6.87,180,Active,2024-08-09
64,545,Personal Loan,175259,7.03,240,Closed,2025-09-14
65,7793,Home Loan,790807,8.86,12,Active,2023-06-10
66,17039,Personal Loan,323567,6.28,180,Closed,2021-01-26
67,13631,Personal Loan,495699,14.85,120,Active,2021-08-17
68,4832,Home Loan,308057,16.49,120,Closed,2021-03-08
69,18149,Personal Loan,699744,8.33,180,Active,2024-05-28
70,9973,Education Loan,152601,7.6,60,Active,2023-05-27
71,7775,Personal Loan,367583,7.0,12,Default,2025-08-25
72,14017,Home Loan,181729,10.01,36,Active,2025-03-27
73,4915,Business Loan,281503,16.43,12,Closed,2021-01-05
74,2018,Auto Loan,577544,13.42,36,Active,2025-06-09
75,491,Personal Loan,157871,13.0,240,Closed,2024-11-17
76,3692,Home Loan,265169,16.57,180,Default,2023-04-27
77,3019,Home Loan,399786,10.54,12,Active,2024-02-06
78,8052,Auto Loan,472902,7.43,48,Closed,2023-05-27
79,3061,Auto Loan,543916,6.55,180,Active,2025-10-13
80,13794,Education Loan,335102,13.2,60,Closed,2023-02-02
81,17545,Auto Loan,650098,6.68,84,Closed,2022-10-26
82,1693,Home Loan,798796,12.39,180,Default,2021-09-01
83,18765,Personal Loan,494391,13.38,48,Active,2022-02-05
84,13449,Personal Loan,752352,7.23,12,Active,2023-04-26
85,14577,Business Loan,243771,14.47,120,Active,2024-01-23
86,18002,Home Loan,473543,6.79,84,Closed,2025-05-18
87,2427,Personal Loan,535567,16.27,180,Active,2021-11-01
88,416,Personal Loan,497153,13.26,84,Active,2022-03-24
89,8456,Auto Loan,289518,10.89,48,Active,2025-05-03
90,4045,Auto Loan,610197,11.75,24,Active,2025-06-29
91,2706,Auto Loan,541684,6.46,84,Active,2023-10-27
92,16464,Personal Loan,558658,15.27,48,Active,2025-04-29
93,11989,Personal Loan,744307,9.89,180,Closed,2023-12-16
94,9454,Home Loan,76927,8.35,180,Active,2021-07-03
95,14809,Personal Loan,329353,12.98,180,Active,2021-10-02
96,6893,Auto Loan,372950,15.42,120,Active,2024-04-01
97,13691,Auto Loan,306648,7.38,12,Closed,2022-04-08
98,11012,Home Loan,341026,6.64,120,Default,2024-07-30
99,3873,Auto Loan,552622,14.84,24,Closed,2025-07-17
100,16350,Personal Loan,588824,7.46,36,Active,2023-09-13
101,15942,Personal Loan,401795,7.44,240,Active,2025-09-23
102,399,Personal Loan,209664,15.82,240,Closed,2025-02-18
103,12751,Home Loan,546125,18.3,240,Default,2022-06-19
104,1191,Home Loan,635165,14.49,24,Active,2025-11-04
105,13471,Home Loan,740874,8.09,12,Active,2024-06-19
106,11849,Business Loan,469147,9.12,240,Active,2022-04-24
107,19744,Home Loan,217626,14.85,120,Closed,2023-08-05
108,17389,Auto Loan,256881,11.18,84,Active,2023-02-27
109,10048,Home Loan,727576,15.22,60,Closed,2025-09-16
110,10709,Auto Loan,778878,16.82,36,Active,2021-04-06
111,19340,Business Loan,172427,6.91,60,Default,2022-07-02
112,14671,Personal Loan,567301,12.3,240,Closed,2022-04-16
113,10036,Auto Loan,99243,13.6,48,Closed,2021-07-19
114,12907,Auto Loan,56821,15.01,36,Active,2022-01-13
