payment_id,loan_id,payment_date,payment_amount,payment_method,payment_status,loan_amount,loan_bucket
1,21198,2025-08-31,14739.0,Net Banking,Success,201112,Low
2,28454,2023-05-30,1397.0,UPI,Success,43657,Very Low
3,5613,2025-04-06,13402.0,Net Banking,Success,764912,Very High
4,9286,2022-10-05,19234.0,Debit Card,Success,35200,Very Low
5,22617,2025-02-15,7929.0,Net Banking,Success,492590,High
6,12086,2023-03-27,10717.0,Debit Card,Pending,107601,Very Low
7,21975,2022-10-03,22967.0,UPI,Success,516596,High
8,29384,2023-09-21,18541.0,Auto Debit,Success,140523,Very Low
9,210,2024-08-12,6945.0,Net Banking,Success,249009,Low
10,3381,2023-05-08,5389.0,UPI,Success,763716,Very High
11,9154,2023-10-05,20248.0,Net Banking,Success,11766,Very Low
12,8400,2024-04-29,7534.0,Auto Debit,Success,51438,Very Low
13,21898,2023-05-15,15375.0,UPI,Success,66400,Very Low
14,24216,2024-01-31,1497.0,Credit Card,Success,451178,Medium
15,7445,2023-06-18,21213.0,Credit Card,Success,326571,Medium
16,8933,2022-08-20,12627.0,UPI,Success,694196,Very High
17,7027,2025-11-13,8973.0,Debit Card,Success,611296,High
18,17672,2025-07-18,22686.0,Auto Debit,Success,510146,High
19,26847,2023-12-21,20353.0,Credit Card,Success,123546,Very Low
20,17659,2025-01-27,21517.0,UPI,Success,729339,Very High
21,23884,2024-02-24,6868.0,Credit Card,Failed,256446,Low
22,17769,2024-03-25,20667.0,Debit Card,Success,466697,Medium
23,499,2026-04-01,11625.0,Net Banking,Success,466064,Medium
24,10915,2023-08-08,5646.0,UPI,Success,371447,Medium
25,10367,2022-08-29,12479.0,Auto Debit,Success,372203,Medium
26,4274,2025-02-07,21715.0,Net Banking,Success,603966,High
27,23999,2022-06-13,6775.0,Net Banking,Success,798355,Very High
28,9851,2023-01-25,1332.0,UPI,Pending,517189,High
29,13345,2024-06-26,15709.0,Debit Card,Success,304253,Low
30,22639,2024-08-10,5044.0,Auto Debit,Success,16394,Very Low
31,15916,2022-02-26,11207.0,Net Banking,Success,476225,Medium
32,20798,2022-10-24,2637.0,Auto Debit,Success,148284,Very Low
33,5813,2024-11-08,23429.0,Credit Card,Success,29504,Very Low
34,20375,2022-04-05,12427.0,Credit Card,Success,693616,Very High
35,14357,2024-11-30,14544.0,Credit Card,Success,140569,Very Low
36,5803,2023-09-18,9159.0,Auto Debit,Success,36406,Very Low
37,7276,2024-09-18,9042.0,Credit Card,Success,633679,High
38,26426,2024-03-24,21549.0,Debit Card,Success,208830,Low
39,27019,2025-01-07,22487.0,Net Banking,Success,108013,Very Low
40,7571,2022-07-04,5001.0,UPI,Success,383394,Medium
41,27170,2025-06-28,13620.0,Net Banking,Failed,688637,Very High
42,25273,2023-09-19,4608.0,UPI,Success,413175,Medium
43,5587,2022-12-20,21101.0,Debit Card,Success,29022,Very Low
44,8033,2025-11-25,5572.0,Debit Card,Success,575153,High
45,8902,2022-05-16,19610.0,Auto Debit,Success,102705,Very Low
46,24510,2022-12-16,9047.0,Net Banking,Success,129382,Very Low
47,21846,2026-03-15,13986.0,Credit Card,Success,68437,Very Low
48,21898,2024-01-23,12786.0,Auto Debit,Success,66400,Very Low
49,2111,2024-04-16,24918.0,Net Banking,Failed,40462,Very Low
50,24200,2026-03-19,11217.0,Net Banking,Success,364187,Medium
51,24229,2023-11-29,4966.0,Credit Card,Success,169616,Low
52,21541,2024-03-07,1525.0,Auto Debit,Success,619173,High
